index,well_id,easting,northing,depth_tvd_m,porosity_pct,bulk_density_gcc,formation_thickness_m,distance_to_usp_km,temp_harrison,temp_res_c,permeability_md,k_log
1510,BLT-01,141577.55,456881.76,1862.5399447507964,13.83141,2.702533,122.37544947053402,2.032828276,77.19363046906028,79.66670862465342,82.0,4.406719247264253
1511,BLT-01,141577.55,456881.76,1862.6127767949952,13.71863,2.68838,122.37544947053402,2.032828276,77.19658622229815,79.66670862465342,82.0,4.406719247264253
1512,BLT-01,141577.55,456881.76,1862.685608839194,13.45625,2.670899,122.37544947053402,2.032828276,77.19954195071092,79.66670862465342,82.0,4.406719247264253
1513,BLT-01,141577.55,456881.76,1862.758440883393,12.86815,2.647428,122.37544947053402,2.032828276,77.20249765429863,79.66670862465342,82.0,4.406719247264253
1514,BLT-01,141577.55,456881.76,1862.831272927592,11.68353,2.614073,122.37544947053402,2.032828276,77.20545333306123,79.66670862465342,82.0,4.406719247264253
1515,BLT-01,141577.55,456881.76,1862.9041049717896,10.5867,2.586111,122.37544947053402,2.032828276,77.20840898699869,79.66670862465342,82.0,4.406719247264253
1516,BLT-01,141577.55,456881.76,1862.9769370159888,10.0902,2.568097,122.37544947053402,2.032828276,77.21136461611113,79.66670862465342,82.0,4.406719247264253
1517,BLT-01,141577.55,456881.76,1863.049769060188,10.01367,2.557141,122.37544947053402,2.032828276,77.21432022039846,79.66670862465342,82.0,4.406719247264253
1518,BLT-01,141577.55,456881.76,1863.1226011043864,10.15614,2.550294,122.37544947053402,2.032828276,77.21727579986067,79.66670862465342,82.0,4.406719247264253
1519,BLT-01,141577.55,456881.76,1863.1954331485847,10.28571,2.548272,122.37544947053402,2.032828276,77.2202313544978,79.66670862465342,82.0,4.406719247264253
1520,BLT-01,141577.55,456881.76,1863.268265192784,10.35583,2.548422,122.37544947053402,2.032828276,77.22318688430987,79.66670862465342,82.0,4.406719247264253
1521,BLT-01,141577.55,456881.76,1863.3410972369832,10.40714,2.549732,122.37544947053402,2.032828276,77.22614238929683,79.66670862465342,82.0,4.406719247264253
1522,BLT-01,141577.55,456881.76,1863.4139292811824,10.46692,2.551428,122.37544947053402,2.032828276,77.22909786945871,79.66670862465342,82.0,4.406719247264253
1523,BLT-01,141577.55,456881.76,1863.486761325381,10.56034,2.552187,122.37544947053402,2.032828276,77.23205332479549,79.66670862465342,82.0,4.406719247264253
1524,BLT-01,141577.55,456881.76,1863.55959336958,10.59998,2.551473,122.37544947053402,2.032828276,77.23500875530718,79.66670862465342,82.0,4.406719247264253
1525,BLT-01,141577.55,456881.76,1863.6324254137787,10.63572,2.549664,122.37544947053402,2.032828276,77.23796416099377,79.66670862465342,82.0,4.406719247264253
1526,BLT-01,141577.55,456881.76,1863.7052574579773,10.68473,2.547012,122.37544947053402,2.032828276,77.24091954185525,79.66670862465342,82.0,4.406719247264253
1527,BLT-01,141577.55,456881.76,1863.7780895021765,10.74487,2.543976,122.37544947053402,2.032828276,77.24387489789169,79.66670862465342,82.0,4.406719247264253
1528,BLT-01,141577.55,456881.76,1863.8509215463755,10.73316,2.540415,122.37544947053402,2.032828276,77.24683022910301,79.66670862465342,82.0,4.406719247264253
1529,BLT-01,141577.55,456881.76,1863.9237535905745,10.65194,2.536213,122.37544947053402,2.032828276,77.24978553548925,79.66670862465342,82.0,4.406719247264253
1530,BLT-01,141577.55,456881.76,1863.9965856347733,10.53229,2.531571,122.37544947053402,2.032828276,77.25274081705038,79.66670862465342,82.0,4.406719247264253
1531,BLT-01,141577.55,456881.76,1864.069417678972,10.44549,2.527014,122.37544947053402,2.032828276,77.25569607378644,79.66670862465342,82.0,4.406719247264253
1532,BLT-01,141577.55,456881.76,1864.142249723171,10.39048,2.523778,122.37544947053402,2.032828276,77.2586513056974,79.66670862465342,82.0,4.406719247264253
